id,name,population,population_under_18
01,Alabama,4864680,1098793
02,Alaska,738516,186138
04,Arizona,6946685,1633783
05,Arkansas,2990671,705943
06,California,39148760,9073655
08,Colorado,5531141,1259819
09,Connecticut,3581504,752625
10,Delaware,949495,203426
11,District of Columbia,684498,121737
12,Florida,20598139,4148552
13,Georgia,10297484,2501295
15,Hawaii,1422029,306501
16,Idaho,1687809,439176
17,Illinois,12821497,2926561
18,Indiana,6637426,1574293
19,Iowa,3132499,730032
20,Kansas,2908776,715545
21,Kentucky,4440204,1012019
22,Louisiana,4663616,1108474
23,Maine,1332813,254661
24,Maryland,6003435,1344177
25,Massachusetts,6830193,1379897
26,Michigan,9957488,2196098
27,Minnesota,5527358,1291607
28,Mississippi,2988762,720308
29,Missouri,6090062,1385063
30,Montana,1041732,227592
31,Nebraska,1904760,472518
32,Nevada,2922849,674476
33,New Hampshire,1343622,262563
34,New Jersey,8881845,1973402
35,New Mexico,2092434,494164
36,New York,19618453,4141633
37,North Carolina,10155624,2292616
38,North Dakota,752201,173718
39,Ohio,11641879,2618168
40,Oklahoma,3918137,958706
41,Oregon,4081943,868178
42,Pennsylvania,12791181,2675330
44,Rhode Island,1056611,208869
45,South Carolina,4955925,1096251
46,South Dakota,864289,213066
47,Tennessee,6651089,1501394
48,Texas,27885195,7292686
49,Utah,3045350,919049
50,Vermont,624977,118346
51,Virginia,8413774,1867427
53,Washington,7294336,1632875
54,West Virginia,1829054,373373
55,Wisconsin,5778394,1288943
56,Wyoming,581836,137719
72,Puerto Rico,3386941,687945
